hops 8
config 0 1 1 false false
32 reply_badcookie ignored connecting_tcp 0/0/0/7 ---K
32 cancel none failed canceled -
31 reply_unmatched ignored tcp_needed 0/0/0/7 ---K
31 cancel none failed canceled -
30 reply_badcookie accepted tcp_needed 0/0/0/7 ---K
30 cancel none failed canceled -
29 send_failed none failed timeout -
29 reply_unmatched ignored query_ready 0/0/0/7 ---K
29 cancel none failed canceled -
28 reply_unmatched ignored query_ready 0/0/0/7 ---K
28 cancel none failed canceled -
27 cancel none failed canceled -
26 send_failed none failed timeout -
26 reply_unmatched ignored query_ready 0/0/0/7 ----
26 cancel none failed canceled -
25 reply_unmatched ignored query_ready 0/0/0/7 ----
25 cancel none failed canceled -
24 reply_truncated accepted tcp_needed 0/0/0/7 E---
25 poll connect_tcp connecting_tcp 0/0/0/7 E---
26 poll wait connecting_tcp 0/0/0/7 E---
26 expire failed_timeout failed timeout -
26 tcp_connected none tcp_ready 0/0/0/7 E---
27 poll send_tcp tcp_ready 0/0/0/7 E---
28 poll send_tcp tcp_ready 0/0/0/7 E---
28 sent none awaiting_tcp 0/0/0/7 E---
29 poll wait awaiting_tcp 0/0/0/7 E---
29 expire failed_timeout failed timeout -
29 tcp_failed none failed timeout -
29 reply_unmatched ignored awaiting_tcp 0/0/0/7 E---
29 reply_answer accepted done - -
29 reply_cname accepted query_ready 0/0/0/8 E---
29 reply_nxdomain accepted failed name_not_found -
29 reply_nodata accepted failed no_data -
29 reply_servfail accepted failed all_servers_failed -
29 reply_formerr accepted query_ready 0/0/0/7 ----
29 reply_truncated accepted failed no_data -
29 reply_badcookie accepted failed all_servers_failed -
29 cancel none failed canceled -
28 send_failed none failed timeout -
28 tcp_failed none failed timeout -
28 reply_unmatched ignored tcp_ready 0/0/0/7 E---
28 cancel none failed canceled -
27 tcp_failed none failed timeout -
27 reply_unmatched ignored tcp_ready 0/0/0/7 E---
27 cancel none failed canceled -
26 tcp_failed none failed timeout -
26 reply_unmatched ignored connecting_tcp 0/0/0/7 E---
26 reply_answer ignored connecting_tcp 0/0/0/7 E---
26 reply_cname ignored connecting_tcp 0/0/0/7 E---
26 reply_nxdomain ignored connecting_tcp 0/0/0/7 E---
26 reply_nodata ignored connecting_tcp 0/0/0/7 E---
26 reply_servfail ignored connecting_tcp 0/0/0/7 E---
26 reply_formerr ignored connecting_tcp 0/0/0/7 E---
26 reply_truncated ignored connecting_tcp 0/0/0/7 E---
26 reply_badcookie ignored connecting_tcp 0/0/0/7 E---
26 cancel none failed canceled -
25 reply_unmatched ignored tcp_needed 0/0/0/7 E---
25 cancel none failed canceled -
24 reply_badcookie accepted query_ready 0/0/0/7 E--K
25 poll send_udp query_ready 0/0/0/7 E--K
26 poll send_udp query_ready 0/0/0/7 E--K
26 sent none awaiting_udp 0/0/0/7 E--K
27 poll wait awaiting_udp 0/0/0/7 E--K
27 expire failed_timeout failed timeout -
27 reply_unmatched ignored awaiting_udp 0/0/0/7 E--K
27 reply_answer accepted done - -
27 reply_cname accepted query_ready 0/0/0/8 E--K
27 reply_nxdomain accepted failed name_not_found -
27 reply_nodata accepted failed no_data -
27 reply_servfail accepted failed all_servers_failed -
27 reply_formerr accepted query_ready 0/0/0/7 ---K
27 reply_truncated accepted tcp_needed 0/0/0/7 E--K
28 poll connect_tcp connecting_tcp 0/0/0/7 E--K
29 poll wait connecting_tcp 0/0/0/7 E--K
29 expire failed_timeout failed timeout -
29 tcp_connected none tcp_ready 0/0/0/7 E--K
30 poll send_tcp tcp_ready 0/0/0/7 E--K
31 poll send_tcp tcp_ready 0/0/0/7 E--K
31 sent none awaiting_tcp 0/0/0/7 E--K
32 poll wait awaiting_tcp 0/0/0/7 E--K
32 expire failed_timeout failed timeout -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored awaiting_tcp 0/0/0/7 E--K
32 reply_answer accepted done - -
32 reply_cname accepted query_ready 0/0/0/8 E--K
32 reply_nxdomain accepted failed name_not_found -
32 reply_nodata accepted failed no_data -
32 reply_servfail accepted failed all_servers_failed -
32 reply_formerr accepted query_ready 0/0/0/7 ---K
32 reply_truncated accepted failed no_data -
32 reply_badcookie accepted failed all_servers_failed -
32 cancel none failed canceled -
31 send_failed none failed timeout -
31 tcp_failed none failed timeout -
31 reply_unmatched ignored tcp_ready 0/0/0/7 E--K
31 cancel none failed canceled -
30 tcp_failed none failed timeout -
30 reply_unmatched ignored tcp_ready 0/0/0/7 E--K
30 cancel none failed canceled -
29 tcp_failed none failed timeout -
29 reply_unmatched ignored connecting_tcp 0/0/0/7 E--K
29 reply_answer ignored connecting_tcp 0/0/0/7 E--K
29 reply_cname ignored connecting_tcp 0/0/0/7 E--K
29 reply_nxdomain ignored connecting_tcp 0/0/0/7 E--K
29 reply_nodata ignored connecting_tcp 0/0/0/7 E--K
29 reply_servfail ignored connecting_tcp 0/0/0/7 E--K
